album,track_number,name,popularity,duration_ms,danceability,valence,release_date
BE,1,Life Goes On,82,207481,0.566,0.45,2020-11-20
BE,2,Fly To My Room,74,222242,0.764,0.588,2020-11-20
BE,3,Blue & Grey,76,254950,0.547,0.364,2020-11-20
BE,4,Skit,57,179547,0.703,0.544,2020-11-20
BE,5,Telepathy,75,202313,0.787,0.57,2020-11-20
BE,6,Dis-ease,73,239722,0.731,0.484,2020-11-20
BE,7,Stay,74,204800,0.582,0.341,2020-11-20
BE,8,Dynamite,87,199053,0.746,0.737,2020-11-20
MAP OF THE SOUL : 7 ~ THE JOURNEY ~,1,INTRO : Calling,54,84613,0.486,0.0806,2020-07-14
MAP OF THE SOUL : 7 ~ THE JOURNEY ~,2,Stay Gold,72,243266,0.723,0.582,2020-07-14
MAP OF THE SOUL : 7 ~ THE JOURNEY ~,3,Boy With Luv - Japanese ver.,56,230013,0.673,0.78,2020-07-14
MAP OF THE SOUL : 7 ~ THE JOURNEY ~,4,Make It Right - Japanese ver.,52,225520,0.571,0.238,2020-07-14
MAP OF THE SOUL : 7 ~ THE JOURNEY ~,5,Dionysus - Japanese ver.,50,248906,0.455,0.588,2020-07-14
MAP OF THE SOUL : 7 ~ THE JOURNEY ~,6,IDOL - Japanese ver.,52,223213,0.705,0.422,2020-07-14
MAP OF THE SOUL : 7 ~ THE JOURNEY ~,7,Airplane pt.2 - Japanese ver.,53,220053,0.752,0.901,2020-07-14
MAP OF THE SOUL : 7 ~ THE JOURNEY ~,8,FAKE LOVE - Japanese ver.,53,243533,0.546,0.433,2020-07-14
MAP OF THE SOUL : 7 ~ THE JOURNEY ~,9,Black Swan - Japanese ver.,51,198760,0.714,0.536,2020-07-14
MAP OF THE SOUL : 7 ~ THE JOURNEY ~,10,ON - Japanese ver.,51,247986,0.598,0.428,2020-07-14
MAP OF THE SOUL : 7 ~ THE JOURNEY ~,11,Lights,69,292853,0.608,0.431,2020-07-14
MAP OF THE SOUL : 7 ~ THE JOURNEY ~,12,Your eyes tell,73,245146,0.449,0.258,2020-07-14
